No.,word (how many words at all),io(data port width in bit),total bits,drawing dimension area (um^2),leakage (uW),dynamic power( uW/MHz),power = fastest clock freq* dynamic power + leakage,,,,,,
1,32,32,1.00K,604.6895089,109.5507,5.04945,,,,,,,
2,32,48,1.50K,842.9449937,143.01,7.0378875,,,,,,,
3,32,64,2.00K,1081.200766,176.4693,9.0271125,,,,,,,
4,32,80,2.50K,1319.456537,209.9286,11.01555,,,,,,,
5,32,96,3.00K,1557.712309,243.3879,13.0055625,,,,,,,
6,32,112,3.50K,1795.96808,276.8472,14.9947875,,,,,,,
7,32,128,4.00K,2034.223565,310.3065,16.983225,,,,,,,
8,32,144,4.50K,2272.479337,343.767375,18.97245,,,,,,,
9,64,32,2.00K,663.0899234,114.36075,5.23215,,,,,,,
10,64,48,3.00K,924.35625,148.74615,7.3056375,,,,,,,
11,64,64,4.00K,1185.622576,183.129975,9.3783375,,,,,,,
12,64,80,5.00K,1446.888903,217.515375,11.4510375,,,,,,,
13,64,96,6.00K,1708.15523,251.900775,13.5237375,,,,,,,
14,64,112,7.00K,1969.421556,286.286175,15.597225,,,,,,,
15,64,128,8.00K,2230.687883,320.67,17.669925,,,,,,,
16,64,144,9.00K,2491.954209,355.0554,19.742625,,,,,,,
17,128,16,2.00K,472.6036033,87.86295,3.350025,,,,,,,
18,128,32,4.00K,779.8910396,123.60285,5.5636875,,,,,,,
19,128,48,6.00K,1087.178763,159.344325,7.77735,,,,,,,
20,128,64,8.00K,1394.466199,195.0858,9.9910125,,,,,,,
21,128,80,10.00K,1701.753922,230.827275,12.204675,,,,,,,
22,128,96,12.00K,2009.041358,266.56875,14.4183375,,,,,,,
23,128,112,14.00K,2316.328795,302.310225,16.632,,,,,,,
24,128,128,16.00K,2623.616518,338.0517,18.8456625,,,,,,,
25,128,144,18.00K,2930.903954,373.793175,21.059325,,,,,,,
26,256,16,4.00K,614.1636161,103.75155,3.6232875,,,,,,,
27,256,32,8.00K,1013.493559,143.194275,5.98185,,,,,,,
28,256,48,12.00K,1412.823501,182.638575,8.339625,,,,,,,
29,256,64,16.00K,1812.153444,222.082875,10.6974,,,,,,,
30,256,80,20.00K,2211.483387,261.527175,13.055175,,,,,,,
31,256,96,24.00K,2610.813616,300.9699,15.4137375,,,,,,,
32,256,112,28.00K,3010.143559,340.4142,17.7715125,,,,,,,
33,256,128,32.00K,3409.473501,379.8585,20.1292875,,,,,,,
34,256,144,36.00K,3808.803444,419.3028,22.4870625,,,,,,,
35,512,16,8.00K,897.2833546,136.040625,3.8705625,,,,,,,
36,512,32,16.00K,1480.69831,182.896875,6.4189125,,,,,,,
37,512,48,24.00K,2064.113266,229.75155,8.9688375,,,,,,,
38,512,64,32.00K,2647.527934,276.6078,11.517975,,,,,,,
39,512,80,40.00K,3230.942889,323.462475,14.0679,,,,,,,
40,512,96,48.00K,3814.357845,370.318725,16.6170375,,,,,,,
41,512,112,56.00K,4397.7728,417.174975,19.166175,,,,,,,
42,512,128,64.00K,4981.187755,464.02965,21.7161,,,,,,,
43,512,144,72.00K,5564.602424,510.8859,24.2652375,,,,,,,
44,1024,16,16.00K,1474.991805,201.32595,4.4123625,,,,,,,
45,1024,32,32.00K,2434.033642,263.382525,7.426125,,,,,,,
46,1024,48,48.00K,3393.075479,325.4391,10.440675,,,,,,,
47,1024,64,64.00K,4352.117315,387.495675,13.4544375,,,,,,,
48,1024,80,80.00K,5311.159151,449.55225,16.4674125,,,,,,,
49,1024,96,96.00K,6270.200988,511.608825,19.4819625,,,,,,,
50,1024,112,112.00K,7229.242825,573.666975,22.4949375,,,,,,,
51,1024,128,128.00K,8188.284662,635.72355,25.5094875,,,,,,,
52,1024,144,144.00K,9147.326499,697.780125,28.52325,,,,,,,
53,2048,16,32.00K,2967.378062,442.220625,6.7622625,,,,,,,
54,2048,32,64.00K,4918.646078,575.931825,11.212425,,,,,,,
55,2048,48,96.00K,6869.914095,709.643025,15.6641625,,,,,,,
56,2048,64,128.00K,8821.182111,843.354225,20.114325,,,,,,,
57,2048,80,160.00K,10772.44984,977.065425,24.565275,,,,,,,
58,2048,96,192.00K,12723.71786,1110.776625,29.016225,,,,,,,
59,2048,112,224.00K,14674.98587,1244.487825,33.4663875,,,,,,,
60,2048,128,256.00K,16626.25389,1378.199025,37.918125,,,,,,,
61,2048,144,288.00K,18577.52191,1511.910225,42.369075,,,,,,,
62,4096,32,128.00K,10021.68282,698.769225,24.6141,,,,,,,
63,4096,36,144.00K,11197.83416,759.12165,27.3805875,,,,,,,
64,4096,39,156.00K,12079.94751,804.38715,29.45565,,,,,,,
65,8192,32,256.00K,16385.70794,1041.39945,25.422075,,,,,,,
66,8192,36,288.00K,18308.74534,1132.614,28.260225,,,,,,,
67,8192,39,312.00K,19751.02347,1201.024125,30.38805,,,,,,,
68,16384,32,512.00K,30797.57899,1917.4365,28.4878125,,,,,,,
69,16384,36,576.00K,34412.0028,2088.387,31.6094625,,,,,,,
70,16384,39,624.00K,37122.8206,2216.60775,33.9514875,,,,,,,
71,32768,32,1024.00K,59621.3205,3615.42825,33.347475,,,,,,,
72,32768,36,1152.00K,66618.51745,3945.9735,36.90225,,,,,,,
73,32768,39,1248.00K,71866.41515,4193.89425,39.5679375,,,,,,,
